Bar Name,Brand Name,Date,Net Usage (ml)
Anderson's Bar,Absolut,2023-01-02,118.62
Anderson's Bar,Absolut,2023-01-09,1191.3
Anderson's Bar,Absolut,2023-01-16,0.0
Anderson's Bar,Absolut,2023-01-30,0.0
Anderson's Bar,Absolut,2023-02-06,0.0
Anderson's Bar,Absolut,2023-02-27,395.69
Anderson's Bar,Absolut,2023-03-06,396.34000000000003
Anderson's Bar,Absolut,2023-03-13,289.73
Anderson's Bar,Absolut,2023-03-27,141.18
Anderson's Bar,Absolut,2023-04-03,208.98
Anderson's Bar,Absolut,2023-04-10,511.21000000000004
Anderson's Bar,Absolut,2023-04-17,556.39
Anderson's Bar,Absolut,2023-05-01,485.57
Anderson's Bar,Absolut,2023-05-08,278.64
Anderson's Bar,Absolut,2023-05-29,713.87
Anderson's Bar,Absolut,2023-06-05,529.05
Anderson's Bar,Absolut,2023-06-12,0.0
Anderson's Bar,Absolut,2023-06-19,0.0
Anderson's Bar,Absolut,2023-06-26,698.5999999999999
Anderson's Bar,Absolut,2023-07-03,927.12
Anderson's Bar,Absolut,2023-07-10,54.51
Anderson's Bar,Absolut,2023-07-17,0.0
Anderson's Bar,Absolut,2023-07-24,574.95
Anderson's Bar,Absolut,2023-07-31,315.2
Anderson's Bar,Absolut,2023-08-07,0.0
Anderson's Bar,Absolut,2023-08-14,0.0
Anderson's Bar,Absolut,2023-08-21,0.0
Anderson's Bar,Absolut,2023-08-28,0.0
Anderson's Bar,Absolut,2023-09-04,0.0
Anderson's Bar,Absolut,2023-09-11,0.0
Anderson's Bar,Absolut,2023-09-18,0.0
Anderson's Bar,Absolut,2023-10-02,0.0
Anderson's Bar,Absolut,2023-10-09,189.66
Anderson's Bar,Absolut,2023-10-16,325.75
Anderson's Bar,Absolut,2023-10-23,502.1
Anderson's Bar,Absolut,2023-10-30,174.39
Anderson's Bar,Absolut,2023-11-06,721.45
Anderson's Bar,Absolut,2023-11-13,694.84
Anderson's Bar,Absolut,2023-11-20,517.2
Anderson's Bar,Absolut,2023-11-27,139.16
Anderson's Bar,Absolut,2023-12-11,1115.1599999999999
Anderson's Bar,Absolut,2023-12-18,347.25
Anderson's Bar,Absolut,2023-12-25,0.0
Anderson's Bar,Bacardi,2023-01-02,0.0
Anderson's Bar,Bacardi,2023-01-09,216.8
Anderson's Bar,Bacardi,2023-01-23,571.4
Anderson's Bar,Bacardi,2023-01-30,407.0
Anderson's Bar,Bacardi,2023-02-13,734.59
Anderson's Bar,Bacardi,2023-02-20,185.12
Anderson's Bar,Bacardi,2023-02-27,1150.12
Anderson's Bar,Bacardi,2023-03-06,485.54999999999995
Anderson's Bar,Bacardi,2023-03-13,314.67
Anderson's Bar,Bacardi,2023-03-20,571.27
Anderson's Bar,Bacardi,2023-03-27,1163.9099999999999
Anderson's Bar,Bacardi,2023-04-03,1153.13
Anderson's Bar,Bacardi,2023-04-10,372.82
Anderson's Bar,Bacardi,2023-04-17,768.19
Anderson's Bar,Bacardi,2023-04-24,428.54999999999995
Anderson's Bar,Bacardi,2023-05-01,981.3799999999999
Anderson's Bar,Bacardi,2023-05-15,804.85
Anderson's Bar,Bacardi,2023-06-05,992.4
Anderson's Bar,Bacardi,2023-06-12,1345.65
Anderson's Bar,Bacardi,2023-06-19,1012.7
Anderson's Bar,Bacardi,2023-06-26,255.2
Anderson's Bar,Bacardi,2023-07-03,1028.23
Anderson's Bar,Bacardi,2023-07-24,565.5
Anderson's Bar,Bacardi,2023-07-31,905.24
Anderson's Bar,Bacardi,2023-08-07,276.62
Anderson's Bar,Bacardi,2023-08-14,1551.4099999999999
Anderson's Bar,Bacardi,2023-08-21,323.0
Anderson's Bar,Bacardi,2023-08-28,893.68
Anderson's Bar,Bacardi,2023-09-11,228.99
Anderson's Bar,Bacardi,2023-09-18,668.84
Anderson's Bar,Bacardi,2023-09-25,400.49
Anderson's Bar,Bacardi,2023-10-16,502.82000000000005
Anderson's Bar,Bacardi,2023-10-30,522.5500000000001
Anderson's Bar,Bacardi,2023-11-06,462.03
Anderson's Bar,Bacardi,2023-11-27,0.0
Anderson's Bar,Bacardi,2023-12-04,700.53
Anderson's Bar,Bacardi,2023-12-11,708.5899999999999
Anderson's Bar,Bacardi,2023-12-25,517.0
Anderson's Bar,Bacardi,2024-01-01,1795.65
Anderson's Bar,Barefoot,2023-01-09,479.09
Anderson's Bar,Barefoot,2023-01-16,643.0699999999999
Anderson's Bar,Barefoot,2023-01-23,845.29
Anderson's Bar,Barefoot,2023-01-30,564.15
Anderson's Bar,Barefoot,2023-02-06,443.64
Anderson's Bar,Barefoot,2023-02-20,263.56
Anderson's Bar,Barefoot,2023-02-27,1145.75
Anderson's Bar,Barefoot,2023-03-06,576.62
Anderson's Bar,Barefoot,2023-03-13,189.81
Anderson's Bar,Barefoot,2023-03-20,481.72
Anderson's Bar,Barefoot,2023-03-27,170.91
Anderson's Bar,Barefoot,2023-04-03,290.36
Anderson's Bar,Barefoot,2023-04-10,772.99
Anderson's Bar,Barefoot,2023-04-17,858.31
Anderson's Bar,Barefoot,2023-04-24,391.06
Anderson's Bar,Barefoot,2023-05-01,112.84
Anderson's Bar,Barefoot,2023-05-08,555.0799999999999
Anderson's Bar,Barefoot,2023-05-15,963.65
Anderson's Bar,Barefoot,2023-05-22,132.66
Anderson's Bar,Barefoot,2023-05-29,518.97
Anderson's Bar,Barefoot,2023-06-05,1119.42
Anderson's Bar,Barefoot,2023-06-12,337.88
Anderson's Bar,Barefoot,2023-07-03,101.77
Anderson's Bar,Barefoot,2023-07-10,506.13
Anderson's Bar,Barefoot,2023-07-17,1244.69
Anderson's Bar,Barefoot,2023-07-31,424.68
Anderson's Bar,Barefoot,2023-08-21,925.38
Anderson's Bar,Barefoot,2023-08-28,160.32
Anderson's Bar,Barefoot,2023-09-04,381.6
Anderson's Bar,Barefoot,2023-09-11,440.15
Anderson's Bar,Barefoot,2023-09-18,2373.59
Anderson's Bar,Barefoot,2023-09-25,1443.94
Anderson's Bar,Barefoot,2023-10-02,515.0
Anderson's Bar,Barefoot,2023-10-09,1152.92
Anderson's Bar,Barefoot,2023-10-16,956.3000000000001
Anderson's Bar,Barefoot,2023-10-23,889.58
Anderson's Bar,Barefoot,2023-11-06,349.94
Anderson's Bar,Barefoot,2023-11-13,573.65
Anderson's Bar,Barefoot,2023-11-20,231.8
Anderson's Bar,Barefoot,2023-11-27,384.85
Anderson's Bar,Barefoot,2023-12-04,662.55
Anderson's Bar,Barefoot,2023-12-11,275.74
Anderson's Bar,Barefoot,2023-12-18,513.52
Anderson's Bar,Barefoot,2023-12-25,287.38
Anderson's Bar,Barefoot,2024-01-01,337.32000000000005
Anderson's Bar,Budweiser,2023-01-09,159.07
Anderson's Bar,Budweiser,2023-01-23,541.71
Anderson's Bar,Budweiser,2023-01-30,238.29
Anderson's Bar,Budweiser,2023-02-06,225.56
Anderson's Bar,Budweiser,2023-02-13,482.17
Anderson's Bar,Budweiser,2023-02-20,0.0
Anderson's Bar,Budweiser,2023-03-06,471.26
Anderson's Bar,Budweiser,2023-04-10,605.22
Anderson's Bar,Budweiser,2023-05-01,651.86
Anderson's Bar,Budweiser,2023-05-08,111.89
Anderson's Bar,Budweiser,2023-06-05,127.05
Anderson's Bar,Budweiser,2023-06-12,178.19
Anderson's Bar,Budweiser,2023-06-19,933.4
Anderson's Bar,Budweiser,2023-06-26,246.31
Anderson's Bar,Budweiser,2023-07-24,558.2
Anderson's Bar,Budweiser,2023-07-31,913.29
Anderson's Bar,Budweiser,2023-08-07,1248.96
Anderson's Bar,Budweiser,2023-08-14,113.9
Anderson's Bar,Budweiser,2023-08-21,232.31
Anderson's Bar,Budweiser,2023-08-28,403.68
